id,vrsta
111,vrh
111,bivak
112,vrh
113,vrh
115,vrh
116,vrh
117,vrh
118,vrh
119,vrh
1110,vrh
111544,vrh
1114,vrh
1117,vrh
1119,vrh
1118,vrh
113178,vrh
1122,vrh
112990,vrh
1126,vrh
1127,vrh
1123,vrh
1123,koča
1123,cerkev
111382,vrh
1133,vrh
112248,vrh
111381,vrh
111546,vrh
111545,vrh
1140,vrh
1143,vrh
1146,vrh
1148,vrh
11423,vrh
111540,vrh
111543,vrh
11402,vrh
111541,vrh
111542,vrh
111052,vrh
11257,vrh
11321,vrh
111121,vrh
1194,koča
11452,vrh
11155,vrh
11647,vrh
11383,vrh
111539,vrh
111348,vrh
111327,vrh
113334,vrh
113139,vrh
111349,vrh
11386,vrh
111612,vrh
111623,vrh
111326,vrh
111328,vrh
11106,vrh
111058,vrh
11679,vrh
111370,vrh
111383,vrh
11224,vrh
11203,koča
11203,bivak
11384,vrh
111379,vrh
11385,vrh
11453,vrh
11456,vrh
111639,vrh
11682,vrh
11422,vrh
112003,vrh
1183,vrh
11328,koča
111057,vrh
11150,vrh
11397,vrh
1170,vrh
11714,vrh
111388,vrh
11414,vrh
112072,vrh
11455,vrh
111377,vrh
11410,koča
11410,bivak
11713,vrh
113602,bivak
11418,vrh
11374,vrh
11258,jezero
11100,koča
11100,sedlo
112725,vrh
111625,vrh
11995,vrh
11285,sedlo
11256,vrh
112571,vrh
113493,vrh
11211,bivak
113485,vrh
113589,vrh
11996,vrh
112708,vrh
11610,vrh
11454,vrh
113465,vrh
11323,vrh
11273,vrh
11153,vrh
11676,vrh
11332,vrh
11279,vrh
11378,vrh
112318,vrh
11175,vrh
11175,koča
11175,bivak
11151,vrh
11210,koča
11210,bivak
112680,vrh
11506,vrh
11698,vrh
111888,vrh
11164,vrh
11164,koča
11164,bivak
1177,vrh
112988,vrh
11259,vrh
111384,vrh
111595,vrh
11468,vrh
11280,vrh
11712,vrh
11675,vrh
1184,vrh
112309,vrh
11711,vrh
11327,vrh
11263,vrh
11172,jezero
11461,vrh
11325,vrh
11936,vrh
111108,vrh
111538,vrh
11173,jezero
113478,vrh
112986,vrh
11216,bivak
111788,vrh
11326,vrh
111615,vrh
1182,vrh
11448,vrh
111099,vrh
11310,vrh
111616,vrh
111124,vrh
11723,bivak
1181,vrh
113474,vrh
11339,vrh
112799,vrh
111614,vrh
11641,vrh
111106,vrh
111107,vrh
111055,vrh
111329,vrh
111054,vrh
111105,vrh
111371,vrh
11722,vrh
11590,vrh
11588,vrh
111109,vrh
111590,vrh
11240,vrh
11240,planina
1193,koča
111098,vrh
111372,vrh
11457,vrh
11469,vrh
111104,vrh
11589,vrh
11291,vrh
11138,sedlo
11531,vrh
112123,vrh
113476,vrh
11463,vrh
11165,jezero
111624,vrh
111103,vrh
111605,vrh
112102,vrh
111812,vrh
11687,vrh
111902,vrh
11686,vrh
1187,vrh
1187,koča
1187,bivak
111102,vrh
11171,jezero
11221,vrh
111684,vrh
11139,koča
11139,bivak
111628,vrh
11330,jezero
111900,vrh
111682,vrh
111266,vrh
111755,vrh
111627,vrh
111060,vrh
11605,vrh
111626,vrh
11415,vrh
111096,vrh
11254,vrh
111045,vrh
11197,sedlo
11465,vrh
11464,vrh
112658,vrh
11709,vrh
11426,vrh
11260,jezero
11260,planina
11253,planina
111380,vrh
112649,vrh
11261,koča
11133,koča
11133,jezero
11133,bivak
111898,vrh
1199,planina
11750,vrh
11101,planina
113570,vrh
111114,vrh
11157,planina
113520,vrh
11419,vrh
11292,jezero
11292,planina
111394,vrh
1176,koča
1176,planina
11255,koča
11255,planina
112138,vrh
11262,koča
11825,vrh
11290,vrh
11205,vrh
111887,planina
112518,vrh
11394,vrh
11394,bivak
113564,planina
113564,sedlo
113568,vrh
11437,vrh
112632,vrh
111267,vrh
11243,planina
11156,planina
11606,planina
111536,vrh
11341,planina
11710,koča
112992,vrh
11826,bivak
11826,sedlo
11435,vrh
111604,planina
111604,sedlo
11434,vrh
111815,vrh
11732,vrh
111699,vrh
11587,koča
11417,planina
112185,vrh
11272,koča
11102,koča
11731,vrh
11198,koča
